"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"DB_Reg_E111TIC12_OP";"2024-01-29 14:16:12";12,69121;1;45320594578,6227
"DB_Reg_E111TIC12_PV";"2024-01-29 14:16:12";65,21677;1;45320594578,6343
"DB_Reg_E111TIC11_PV";"2024-01-29 14:16:17";11,9;1;45320594637,1644
"DB_Reg_E111TIC11_SP";"2024-01-29 14:16:17";65,31639;1;45320594637,1644
"DB_Reg_E111TIC12_OP";"2024-01-29 14:16:17";11,64783;1;45320594637,1759
"DB_Reg_E111TIC12_PV";"2024-01-29 14:16:17";66,03271;1;45320594637,1759
"DB_Reg_E111TIC11_PV";"2024-01-29 14:16:22";11,9;1;45320594695,6944
"DB_Reg_E111TIC11_SP";"2024-01-29 14:16:22";65,31756;1;45320594695,706
"DB_Reg_E111TIC12_OP";"2024-01-29 14:16:22";10,29411;1;45320594695,706
"DB_Reg_E111TIC12_PV";"2024-01-29 14:16:22";66,61009;1;45320594695,706
"DB_Reg_E111TIC11_PV";"2024-01-29 14:16:27";11,9;1;45320594754,2245
"DB_Reg_E111TIC11_SP";"2024-01-29 14:16:27";65,30983;1;45320594754,2245
"DB_Reg_E111TIC12_OP";"2024-01-29 14:16:27";11,10625;1;45320594754,2245
"DB_Reg_E111TIC12_PV";"2024-01-29 14:16:27";65,35843;1;45320594754,2361
"DB_Reg_E111TIC11_PV";"2024-01-29 14:16:32";11,98982;1;45320594813,5417
"DB_Reg_E111TIC11_SP";"2024-01-29 14:16:32";65,30614;1;45320594813,5417
"DB_Reg_E111TIC12_OP";"2024-01-29 14:16:32";11,43823;1;45320594813,5417
"DB_Reg_E111TIC12_PV";"2024-01-29 14:16:32";65,18143;1;45320594813,5532
"DB_Reg_E111TIC11_PV";"2024-01-29 14:16:37";11,99966;1;45320594872,0718
"DB_Reg_E111TIC11_SP";"2024-01-29 14:16:37";65,31716;1;45320594872,0833
"DB_Reg_E111TIC12_OP";"2024-01-29 14:16:37";11,59611;1;45320594872,0833
"DB_Reg_E111TIC12_PV";"2024-01-29 14:16:37";65,08966;1;45320594872,0833
"DB_Reg_E111TIC11_PV";"2024-01-29 14:16:42";12;1;45320594930,6019
"DB_Reg_E111TIC11_SP";"2024-01-29 14:16:42";65,31692;1;45320594930,6019
"DB_Reg_E111TIC12_OP";"2024-01-29 14:16:42";11,91482;1;45320594930,6134
"DB_Reg_E111TIC12_PV";"2024-01-29 14:16:42";65,0023;1;45320594930,6134
"DB_Reg_E111TIC11_PV";"2024-01-29 14:16:47";12;1;45320594989,1319
"DB_Reg_E111TIC11_SP";"2024-01-29 14:16:47";65,31512;1;45320594989,1319
"DB_Reg_E111TIC12_OP";"2024-01-29 14:16:47";11,83182;1;45320594989,1435
"DB_Reg_E111TIC12_PV";"2024-01-29 14:16:47";65,19095;1;45320594989,1435
"DB_Reg_E111TIC11_PV";"2024-01-29 14:16:52";12;1;45320595047,6736
"DB_Reg_E111TIC11_SP";"2024-01-29 14:16:52";65,31017;1;45320595047,6736
"DB_Reg_E111TIC12_OP";"2024-01-29 14:16:52";11,5883;1;45320595047,6736
"DB_Reg_E111TIC12_PV";"2024-01-29 14:16:52";65,40975;1;45320595047,6852
"DB_Reg_E111TIC11_PV";"2024-01-29 14:16:57";12;1;45320595106,2153
"DB_Reg_E111TIC11_SP";"2024-01-29 14:16:57";65,31284;1;45320595106,2153
"DB_Reg_E111TIC12_OP";"2024-01-29 14:16:57";11,98377;1;45320595106,2153
"DB_Reg_E111TIC12_PV";"2024-01-29 14:16:57";65,01404;1;45320595106,2269
"DB_Reg_E111TIC11_PV";"2024-01-29 14:17:02";12,08055;1;45320595165,4514
"DB_Reg_E111TIC11_SP";"2024-01-29 14:17:02";65,30894;1;45320595165,463
"DB_Reg_E111TIC12_OP";"2024-01-29 14:17:02";12,35072;1;45320595165,463
"DB_Reg_E111TIC12_PV";"2024-01-29 14:17:02";64,95524;1;45320595165,463
"DB_Reg_E111TIC11_PV";"2024-01-29 14:17:07";12,09935;1;45320595223,9815
"DB_Reg_E111TIC11_SP";"2024-01-29 14:17:07";65,30914;1;45320595223,9815
"DB_Reg_E111TIC12_OP";"2024-01-29 14:17:07";11,89288;1;45320595223,9931
"DB_Reg_E111TIC12_PV";"2024-01-29 14:17:07";65,44926;1;45320595223,9931
"DB_Reg_E111TIC11_PV";"2024-01-29 14:17:12";12,09998;1;45320595282,5116
"DB_Reg_E111TIC11_SP";"2024-01-29 14:17:12";65,31203;1;45320595282,5116
"DB_Reg_E111TIC12_OP";"2024-01-29 14:17:12";11,22994;1;45320595282,5116
"DB_Reg_E111TIC12_PV";"2024-01-29 14:17:12";65,81536;1;45320595282,5231
"DB_Reg_E111TIC11_PV";"2024-01-29 14:17:17";12,01023;1;45320595341,0417
"DB_Reg_E111TIC11_SP";"2024-01-29 14:17:17";65,30573;1;45320595341,0532
"DB_Reg_E111TIC12_OP";"2024-01-29 14:17:17";11,12214;1;45320595341,0532
"DB_Reg_E111TIC12_PV";"2024-01-29 14:17:17";65,6699;1;45320595341,0532
