Id,Time,DB_Reg_E111TIC11_PV,DB_Reg_E111TIC11_SP,DB_Reg_E111TIC12_OP,DB_Reg_E111TIC12_PV
295,2024-01-29 14:36:54,12.90015,65.11382,0.0,65.98342
296,2024-01-29 14:36:59,12.92087,65.10338,0.0,65.97758
297,2024-01-29 14:37:04,12.81552,65.10297,0.0,65.6289
298,2024-01-29 14:37:09,12.70784,65.1075,0.0,65.32732
299,2024-01-29 14:37:14,12.56795,65.10851,0.0,65.06241
300,2024-01-29 14:37:19,12.22773,65.10891,0.0,64.64045
301,2024-01-29 14:37:24,11.93949,65.10574,0.0,64.23296
302,2024-01-29 14:37:29,11.57576,65.10992,0.0,63.17402
303,2024-01-29 14:37:35,10.99526,65.10075,0.0,61.92008
304,2024-01-29 14:37:40,10.38654,65.10431,0.0,61.09859
305,2024-01-29 14:37:45,10.39361,65.10139,0.0,60.41625
306,2024-01-29 14:37:50,10.53835,65.09626,0.0,59.4868
307,2024-01-29 14:37:55,10.66951,65.09247,0.0,58.08488
308,2024-01-29 14:38:00,10.87082,65.09233,0.0,56.1975
309,2024-01-29 14:38:05,11.21028,65.09525,0.0,53.97186
310,2024-01-29 14:38:10,11.58157,65.09508,0.0,51.04687
311,2024-01-29 14:38:15,12.77256,65.09369,0.0,47.87102
312,2024-01-29 14:38:20,14.22122,65.09274,0.0,45.73647
313,2024-01-29 14:38:25,15.43306,65.09213,0.0,43.93928
314,2024-01-29 14:38:30,17.33542,65.09078,0.0,41.75974
315,2024-01-29 14:38:35,18.65153,65.0926,0.0,39.78745
316,2024-01-29 14:38:40,19.74732,65.09344,0.0,37.64819
317,2024-01-29 14:38:45,21.14985,65.09264,0.0,34.7102
318,2024-01-29 14:38:51,22.18973,65.08366,0.0,32.55614
319,2024-01-29 14:38:56,23.20676,65.09194,0.0,29.8638
320,2024-01-29 14:39:01,24.06338,65.09201,0.0,27.23209
321,2024-01-29 14:39:06,24.29854,65.08684,0.0,24.8007
322,2024-01-29 14:39:11,24.62914,65.09287,0.0,23.38476
323,2024-01-29 14:39:16,25.1454,65.08801,0.0,22.02381
324,2024-01-29 14:39:21,25.42769,65.09225,0.0,20.71635
325,2024-01-29 14:39:26,25.53259,65.09237,0.0,19.1893
326,2024-01-29 14:39:31,25.59776,65.09242,0.0,18.25609
327,2024-01-29 14:39:36,25.77603,65.09207,0.0,17.28207
328,2024-01-29 14:39:41,25.71483,65.09048,0.0,16.13477
329,2024-01-29 14:39:46,25.54015,65.09069,0.0,15.27859
330,2024-01-29 14:39:51,24.98469,65.09203,0.0,14.79035
331,2024-01-29 14:39:56,25.17114,65.09366,0.0,14.02439
332,2024-01-29 14:40:02,25.19902,65.09204,0.0,13.30624
333,2024-01-29 14:40:07,25.01002,65.09123,0.0,12.63583
334,2024-01-29 14:40:12,24.68661,65.09365,0.0,12.1397
335,2024-01-29 14:40:17,24.41148,65.09153,0.0,11.55491
336,2024-01-29 14:40:22,24.16218,65.09166,0.0,11.05855
337,2024-01-29 14:40:27,23.63448,65.09519,0.0,10.80048
338,2024-01-29 14:40:32,23.15358,65.09388,0.0,10.21747
339,2024-01-29 14:40:37,22.79615,65.08967,0.0,9.782583
340,2024-01-29 14:40:42,22.34782,65.09532,0.0,9.582153
341,2024-01-29 14:40:47,21.99831,65.09419,0.0,9.344859
342,2024-01-29 14:40:52,21.64662,65.09639,0.0,9.276133
343,2024-01-29 14:40:57,21.24068,65.09809,0.0,9.177215
344,2024-01-29 14:41:02,20.70861,65.09506,0.0,8.985133
345,2024-01-29 14:41:07,19.92852,65.09458,0.0,8.708858
346,2024-01-29 14:41:12,19.0781,65.09504,0.0,8.257318
347,2024-01-29 14:41:18,18.46146,65.09411,0.0,7.901624
348,2024-01-29 14:41:23,17.7605,65.09486,0.0,7.568379
349,2024-01-29 14:41:28,16.97896,65.09389,0.0,7.347646
350,2024-01-29 14:41:33,16.74603,65.08677,0.0,7.133457
351,2024-01-29 14:41:38,16.41566,65.08738,0.0,7.022716
352,2024-01-29 14:41:43,16.23605,65.09007,0.0,7.000759
353,2024-01-29 14:41:48,15.94865,65.09143,0.0,7.05051
354,2024-01-29 14:41:53,15.37875,65.08826,0.0,7.180307
355,2024-01-29 14:41:58,15.0961,65.09094,0.0,7.199351
356,2024-01-29 14:42:03,14.8278,65.09463,0.0,7.199975
357,2024-01-29 14:42:08,14.63551,65.09367,0.0,7.06379
358,2024-01-29 14:42:13,14.60118,65.09605,0.0,7.09344
359,2024-01-29 14:42:18,14.48973,65.094,0.0,7.099782
360,2024-01-29 14:42:23,14.16944,65.08902,0.0,7.1
